0.01	0.01	1.57024
0.02	0.0699971	1.57001
0.03	0.168585	1.56972
0.04	0.303735	1.5694
0.05	0.476081	1.56906
0.06	0.685928	1.56872
0.07	0.933377	1.56838
0.08	1.21843	1.56804
0.09	1.54105	1.56769
0.1	1.90115	1.56735
0.11	2.29863	1.56701
0.12	2.73335	1.56667
0.13	3.20519	1.56633
0.14	3.71399	1.56599
0.15	4.25958	1.56565
0.16	4.84176	1.56531
0.17	5.46036	1.56497
0.18	6.11515	1.56463
0.19	6.80591	1.5643
0.2	7.53241	1.56396
0.21	8.2944	1.56363
0.22	9.09163	1.5633
0.23	9.92381	1.56297
0.24	10.7907	1.56264
0.25	11.6919	1.56231
0.26	12.6272	1.56198
0.27	13.5963	1.56166
0.28	14.5987	1.56134
0.29	15.6343	1.56102
0.3	16.7026	1.5607
0.31	17.8032	1.56038
0.32	18.9358	1.56007
0.33	20.1	1.55975
0.34	21.2955	1.55944
0.35	22.5217	1.55914
0.36	23.7783	1.55883
0.37	25.0648	1.55853
0.38	26.3809	1.55822
0.39	27.726	1.55793
0.4	29.0997	1.55763
0.41	30.5015	1.55734
0.42	31.931	1.55705
0.43	33.3877	1.55676
0.44	34.8711	1.55648
0.45	36.3806	1.5562
0.46	37.9158	1.55592
0.47	39.4762	1.55565
0.48	41.0611	1.55538
0.49	42.6701	1.55511
0.5	44.3027	1.55485
0.51	45.9582	1.55459
0.52	47.6361	1.55434
0.53	49.3359	1.55409
0.54	51.0569	1.55384
0.55	52.7987	1.5536
0.56	54.5605	1.55336
0.57	56.3418	1.55313
0.58	58.142	1.5529
0.59	59.9605	1.55268
0.6	61.7967	1.55246
0.61	63.6499	1.55225
0.62	65.5195	1.55204
0.63	67.4049	1.55184
0.64	69.3055	1.55165
0.65	71.2206	1.55146
0.66	73.1496	1.55128
0.67	75.0918	1.5511
0.68	77.0466	1.55093
0.69	79.0132	1.55077
0.7	80.9911	1.55062
0.71	82.9796	1.55047
0.72	84.978	1.55033
0.73	86.9856	1.5502
0.74	89.0018	1.55008
0.75	91.0258	1.54996
0.76	93.0571	1.54985
0.77	95.0949	1.54976
0.78	97.1385	1.54967
0.79	99.1873	1.54959
0.8	101.241	1.54952
0.81	103.298	1.54946
0.82	105.358	1.54942
0.83	107.42	1.54938
0.84	109.484	1.54936
0.85	111.55	1.54934
0.86	113.615	1.54934
0.87	115.68	1.54935
0.88	117.745	1.54938
0.89	119.807	1.54942
0.9	121.867	1.54947
0.91	123.924	1.54954
0.92	125.977	1.54962
0.93	128.026	1.54972
0.94	130.069	1.54984
0.95	132.107	1.54997
0.96	134.138	1.55012
0.97	136.161	1.55029
0.98	138.178	1.55048
0.99	140.185	1.55069
1	142.183	1.55092
1.01	144.172	1.55118
1.02	146.15	1.55145
1.03	148.116	1.55175
1.04	150.071	1.55208
1.05	152.014	1.55243
1.06	153.943	1.55281
1.07	155.858	1.55322
1.08	157.76	1.55365
1.09	159.646	1.55412
1.1	161.516	1.55462
1.11	163.371	1.55516
1.12	165.208	1.55573
1.13	167.028	1.55634
1.14	168.83	1.55699
1.15	170.614	1.55769
1.16	172.378	1.55842
1.17	174.122	1.55921
1.18	175.846	1.56004
1.19	177.549	1.56093
1.2	179.231	1.56187
1.21	180.89	1.56287
1.22	182.527	1.56393
1.23	184.141	1.56505
1.24	185.731	1.56625
1.25	187.298	1.56752
1.26	188.839	1.56887
1.27	190.355	1.5703
1.28	191.846	1.57183
1.29	193.311	1.57344
1.3	194.749	1.57516
1.31	196.159	1.57699
1.32	197.543	1.57894
1.33	198.898	1.58102
1.34	200.225	1.58323
1.35	201.524	1.58559
1.36	202.793	1.58811
1.37	204.032	1.5908
1.38	205.241	1.59367
1.39	206.42	1.59676
1.4	207.568	1.60006
1.41	208.685	1.60361
1.42	209.771	1.60742
1.43	210.824	1.61153
1.44	211.845	1.61596
1.45	212.834	1.62075
1.46	213.79	1.62594
1.47	214.713	1.63158
1.48	215.602	1.6377
1.49	216.458	1.64439
1.5	217.28	1.65171
1.51	218.067	1.65974
1.52	218.82	1.66859
1.53	219.539	1.67837
1.54	220.222	1.68923
1.55	220.87	1.70134
1.56	221.483	1.71492
1.57	222.06	1.73023
1.58	222.601	1.74759
1.59	223.107	1.76743
1.6	223.576	1.79027
1.61	224.009	1.81678
1.62	224.406	1.84787
1.63	224.766	1.88472
1.64	225.09	1.9289
1.65	225.377	1.98258
1.66	225.627	2.04868
1.67	225.841	2.13118
1.68	226.017	2.23529
1.69	226.156	2.36725
1.7	226.258	2.53299
1.71	226.324	2.73423
1.72	226.352	2.96255
1.73	226.342	0.0556913
1.74	226.296	0.272655
1.75	226.213	0.456819
1.76	226.092	0.605444
1.77	225.934	0.722971
1.78	225.739	0.815784
1.79	225.508	0.889702
1.8	225.239	0.949313
1.81	224.933	0.998048
1.82	224.591	1.03843
1.83	224.211	1.0723
1.84	223.795	1.10104
1.85	223.343	1.12568
1.86	222.854	1.14699
1.87	222.329	1.16558
1.88	221.768	1.18192
1.89	221.17	1.19636
1.9	220.537	1.20922
1.91	219.868	1.22072
1.92	219.164	1.23106
1.93	218.424	1.2404
1.94	217.649	1.24886
1.95	216.839	1.25656
1.96	215.994	1.26359
1.97	215.115	1.27003
1.98	214.202	1.27595
1.99	213.254	1.2814
2	212.273	1.28642
2.01	211.258	1.29107
2.02	210.209	1.29539
2.03	209.128	1.29939
2.04	208.013	1.30312
2.05	206.866	1.30659
2.06	205.687	1.30983
2.07	204.476	1.31286
2.08	203.233	1.3157
2.09	201.958	1.31835
