3.22	1.10335
3.23	1.10115
3.24	1.09896
3.25	1.09677
3.26	1.09458
3.27	1.09241
3.28	1.09023
3.29	1.08807
3.3	1.08591
3.31	1.08375
3.32	1.0816
3.33	1.07945
3.34	1.07731
3.35	1.07518
3.36	1.07305
3.37	1.07093
3.38	1.06881
3.39	1.06669
3.4	1.06459
3.41	1.06248
3.42	1.06038
3.43	1.05829
3.44	1.0562
3.45	1.05412
3.46	1.05204
3.47	1.04997
3.48	1.0479
3.49	1.04584
3.5	1.04378
3.51	1.04172
3.52	1.03967
3.53	1.03763
3.54	1.03559
3.55	1.03356
3.56	1.03153
3.57	1.0295
3.58	1.02748
3.59	1.02547
3.6	1.02346
3.61	1.02145
3.62	1.01945
3.63	1.01745
3.64	1.01546
3.65	1.01347
3.66	1.01149
3.67	1.00951
3.68	1.00754
3.69	1.00557
3.7	1.0036
3.71	1.00164
3.72	0.999683
3.73	0.99773
3.74	0.995783
3.75	0.993839
3.76	0.9919
3.77	0.989965
3.78	0.988035
3.79	0.986109
3.8	0.984187
3.81	0.982269
3.82	0.980355
3.83	0.978446
3.84	0.976541
3.85	0.97464
3.86	0.972743
3.87	0.97085
3.88	0.968961
3.89	0.967077
3.9	0.965196
3.91	0.96332
3.92	0.961447
3.93	0.959579
3.94	0.957714
3.95	0.955854
3.96	0.953997
3.97	0.952145
3.98	0.950296
3.99	0.948451
4	0.94661
